116 6670
1 2 20
1 5 32,984845004941285
1 6 42,7551166528639
1 8 63,245553203367585
1 9 61,18823416311342
1 13 94,14881836751856
1 14 101,9803902718557
1 15 92,77930803794561
1 18 124,06449935416659
1 19 132,06059215375342
1 20 140,05713120009278
1 21 148,05404418657398
1 24 117,71151175649729
1 32 185,0837648201484
1 34 208,153789300123
1 36 224,57070156189118
1 37 232,86047324524614
1 39 232,03448019637082
1 44 249,57563983690395
1 45 248,8051446413438
1 46 248,29015284541592
1 47 248,03225596683993
1 48 248,03225596683993
1 49 248,29015284541592
1 51 256,78006153126455
1 52 256,28109567426156
1 53 256,03124809288414
1 54 256,03124809288414
1 55 256,28109567426156
1 56 256,78006153126455
1 57 257,52669764511796
1 58 258,5188581129044
1 59 250,59928172283335
1 64 261,2278698760911
1 65 262,9372548727167
1 67 276,9259828907356
1 69 282,842712474619
1 75 294,72699231661835
1 76 287,1375976774898
1 78 300,1066477104431
1 79 283,7463656154912
1 80 277,8488797889961
1 81 274,83813418083014
1 84 267,04306768759227
1 86 256,632032295269
1 88 262,48809496813374
1 89 266,66083326952986
1 93 284,45034716097643
1 94 291,67104758614624
1 96 302,3375596911505
1 97 295,16097302997224
1 98 288,0277764383151
1 99 280,3212442894758
1 101 266,92320993124594
1 104 255,906232827573
1 106 241,49534156997728
1 107 238,02520874898943
1 108 252,63412279421004
1 109 259,2373429890069
1 111 246,73872821265817
1 114 244,13111231467406
1 115 241,76021178018522
1 118 237,7561776274173
1 125 184,04347312523745
1 128 156,05127362504928
1 130 148,48568954616468
1 131 140,51334456200237
1 132 132,54433220624713
1 134 118,45674315968678
1 135 120,33287165193059
1 136 122,70289320142373
1 137 125,53883861180172
1 138 128,80993750483694
1 149 141,4213562373095
1 150 153,93505123915085
1 151 176,0454486773231
1 169 257,9922479455536
1 172 242,15697388264496
1 174 223,60679774997897
1 179 170,1763790894612
1 181 186,11824198610947
1 186 201,79197209007103
1 187 208,0384579831335
1 192 188,35073665903195
1 193 181,10770276274835
1 194 172,74258305351347
1 195 167,47537132366656
1 197 166,90116836020053
1 200 149,9333185119305
1 205 113,27841806805037
1 206 101,9803902718557
1 207 100
1 209 88,81441324469807
1 221 141,36477637657833
1 222 138,15932831336434
1 223 132,9661611087573
1 234 96,74709297958259
1 235 96,08329719571451
1 242 40
1 248 48,82622246293481
1 249 60
1 250 62,609903369994115
1 252 82,46211251235322
1 253 87,72684879784524
1 254 82,07313811473277
1 255 76,4198926981712
1 257 76,83749084919418
1 267 118,18629362155326
1 268 115,16944039110375
1 269 112,64102272262978
1 270 110,63453348751464
1 276 52,15361924162119
1 278 43,266615305567875
1 279 34,40930106817051
1 280 17,88854381999832
2 5 42,5205832509386
2 6 50,47771785649585
2 8 72,11102550927978
2 9 68
2 13 100,31948963187563
